Date,Cases,Average_7Day
15-Mar,1237,431
16-Mar,755,510
17-Mar,2797,867
18-Mar,3419,1315
19-Mar,4777,1939
20-Mar,3528,2408
21-Mar,5836,3193
22-Mar,8821,4275
23-Mar,10934,5734
24-Mar,10115,6778
25-Mar,13987,8281
26-Mar,16916,10022
27-Mar,17965,12080
28-Mar,19332,14011
29-Mar,18251,15358
30-Mar,22635,17027
31-Mar,22562,18808
1-Apr,27043,20673
2-Apr,26135,21991
3-Apr,34864,24403
4-Apr,30683,26027
5-Apr,26065,27231
6-Apr,43438,30200
7-Apr,21597,31551
8-Apr,31534,32194
9-Apr,31705,32992
10-Apr,33251,32759
11-Apr,33288,33130
12-Apr,29145,33484
13-Apr,24156,30728
14-Apr,26385,29928
15-Apr,27158,29315
16-Apr,29164,28950
17-Apr,29002,28343
18-Apr,29916,27857
19-Apr,25995,27411
20-Apr,29468,28171
21-Apr,26490,28191
22-Apr,25858,27998
23-Apr,37144,29130
24-Apr,29873,29268
25-Apr,33161,29728
26-Apr,29256,30205
27-Apr,23371,29354
28-Apr,23901,28985
29-Apr,25512,28932
30-Apr,31787,28163
1-May,30369,28227
2-May,29794,27750
3-May,29763,27815
4-May,19138,27203
5-May,22303,26963
6-May,23366,26656
7-May,30861,26531
8-May,25996,25902
9-May,26660,25458
10-May,23792,24615
11-May,18106,24492
12-May,21467,24367
13-May,20869,24014
14-May,27191,23484
15-May,22977,23087
16-May,31967,23858
17-May,13284,23063
18-May,24481,23960
19-May,23405,24265
20-May,22860,24551
21-May,20522,24277
22-May,24268,24428
23-May,26229,23590
24-May,15342,23842
25-May,24958,23903
26-May,16429,22879
27-May,19680,22431
28-May,21304,21959
29-May,18123,21761
30-May,23553,21379
31-May,26177,22249
1-Jun,14790,21468
2-Jun,24955,22681
3-Jun,14676,22648
4-Jun,20555,22437
5-Jun,29034,23314
6-Jun,29214,24127
7-Jun,17919,22943
8-Jun,17598,22674
9-Jun,17376,21590
10-Jun,20486,21744
11-Jun,21744,21916
12-Jun,22317,21621
13-Jun,25468,21090
14-Jun,21957,21660
15-Jun,18577,21801
16-Jun,28392,23379
17-Jun,22834,23715
18-Jun,27828,24585
19-Jun,32218,25347
20-Jun,32411,26337
21-Jun,27616,27145
22-Jun,26657,28297
23-Jun,34313,29141
24-Jun,37667,31264
25-Jun,40588,33087
26-Jun,44602,34835
27-Jun,44703,36594
28-Jun,41390,38561
29-Jun,35664,39853
30-Jun,43644,41189
1-Jul,54357,43568
2-Jul,52730,45309
3-Jul,57718,47180
4-Jul,52228,48254
5-Jul,44361,48678
6-Jul,46329,50196
7-Jul,50304,51148
8-Jul,64771,52636
9-Jul,59260,53563
10-Jul,66281,54791
11-Jul,62918,56316
12-Jul,60469,58635
13-Jul,58858,60422
14-Jul,60971,61945
15-Jul,67404,62320